file,scenario,scenario_id,label,group,sub_type,n_records,n_events,filesize
早高峰01.eet,morning_peak,1,1,A,,203,400,14123
早高峰02.eet,morning_peak,1,1,A,,203,400,14123
早高峰03.eet,morning_peak,1,1,A,,203,400,14123
早高峰04.eet,morning_peak,1,1,A,,203,400,14123
早高峰05.eet,morning_peak,1,1,A,,203,400,14123
早高峰06.eet,morning_peak,1,1,A,,203,400,14123
早高峰07.eet,morning_peak,1,1,A,,203,400,14123
早高峰08.eet,morning_peak,1,1,A,,203,400,14123
早高峰09.eet,morning_peak,1,1,A,,203,400,14123
早高峰10.eet,morning_peak,1,1,A,,203,400,14123
晚高峰01.eet,evening_peak,2,2,A,,203,400,14123
晚高峰02.eet,evening_peak,2,2,A,,203,400,14123
晚高峰03.eet,evening_peak,2,2,A,,203,400,14123
晚高峰04.eet,evening_peak,2,2,A,,203,400,14123
晚高峰05.eet,evening_peak,2,2,A,,203,400,14123
晚高峰06.eet,evening_peak,2,2,A,,203,400,14123
晚高峰07.eet,evening_peak,2,2,A,,203,400,14123
晚高峰08.eet,evening_peak,2,2,A,,203,400,14123
晚高峰09.eet,evening_peak,2,2,A,,203,400,14123
晚高峰10.eet,evening_peak,2,2,A,,203,400,14123
午间双向交叉峰01.eet,noon_cross,3,3,A,,203,400,14131
午间双向交叉峰02.eet,noon_cross,3,3,A,,203,400,14131
午间双向交叉峰03.eet,noon_cross,3,3,A,,203,400,14131
午间双向交叉峰04.eet,noon_cross,3,3,A,,203,400,14131
午间双向交叉峰05.eet,noon_cross,3,3,A,,203,400,14131
午间双向交叉峰06.eet,noon_cross,3,3,A,,203,400,14131
午间双向交叉峰07.eet,noon_cross,3,3,A,,203,400,14131
午间双向交叉峰08.eet,noon_cross,3,3,A,,203,400,14131
午间双向交叉峰09.eet,noon_cross,3,3,A,,203,400,14131
午间双向交叉峰10.eet,noon_cross,3,3,A,,203,400,14131
层间交互客流01.eet,interfloor,4,4,B,,202,400,14129
层间交互客流02.eet,interfloor,4,4,B,,202,400,14129
层间交互客流03.eet,interfloor,4,4,B,,202,400,14129
层间交互客流04.eet,interfloor,4,4,B,,202,400,14129
层间交互客流05.eet,interfloor,4,4,B,,202,400,14129
层间交互客流06.eet,interfloor,4,4,B,,202,400,14129
层间交互客流07.eet,interfloor,4,4,B,,202,400,14129
层间交互客流08.eet,interfloor,4,4,B,,202,400,14129
层间交互客流09.eet,interfloor,4,4,B,,202,400,14129
层间交互客流10.eet,interfloor,4,4,B,,202,400,14129
极端闲时01.eet,extreme_idle,5,5,B,,52,52,4525
极端闲时02.eet,extreme_idle,5,5,B,,52,52,4525
极端闲时03.eet,extreme_idle,5,5,B,,52,45,4525
极端闲时04.eet,extreme_idle,5,5,B,,52,43,4525
极端闲时05.eet,extreme_idle,5,5,B,,52,46,4525
极端闲时06.eet,extreme_idle,5,5,B,,52,48,4525
极端闲时07.eet,extreme_idle,5,5,B,,52,51,4525
极端闲时08.eet,extreme_idle,5,5,B,,52,47,4525
极端闲时09.eet,extreme_idle,5,5,B,,52,48,4525
极端闲时10.eet,extreme_idle,5,5,B,,52,50,4525
会议活动突发流-开始01.eet,meeting,6,6,C,start,152,300,10928
会议活动突发流-开始02.eet,meeting,6,6,C,start,152,300,10928
会议活动突发流-开始03.eet,meeting,6,6,C,start,152,300,10928
会议活动突发流-开始04.eet,meeting,6,6,C,start,152,300,10928
会议活动突发流-开始05.eet,meeting,6,6,C,start,152,300,10928
会议活动突发流-开始06.eet,meeting,6,6,C,start,152,300,10928
会议活动突发流-开始07.eet,meeting,6,6,C,start,152,300,10928
会议活动突发流-开始08.eet,meeting,6,6,C,start,152,300,10928
会议活动突发流-开始09.eet,meeting,6,6,C,start,152,300,10928
会议活动突发流-开始10.eet,meeting,6,6,C,start,152,300,10928
会议活动突发流-散场01.eet,meeting,6,7,C,scatter,152,300,10928
会议活动突发流-散场02.eet,meeting,6,7,C,scatter,152,300,10928
会议活动突发流-散场03.eet,meeting,6,7,C,scatter,152,300,10928
会议活动突发流-散场04.eet,meeting,6,7,C,scatter,152,300,10928
会议活动突发流-散场05.eet,meeting,6,7,C,scatter,152,300,10928
会议活动突发流-散场06.eet,meeting,6,7,C,scatter,153,301,10928
会议活动突发流-散场07.eet,meeting,6,7,C,scatter,152,300,10928
会议活动突发流-散场08.eet,meeting,6,7,C,scatter,152,300,10928
会议活动突发流-散场09.eet,meeting,6,7,C,scatter,153,301,10928
会议活动突发流-散场10.eet,meeting,6,7,C,scatter,153,301,10928
